POLICY_NUMBER,INSURANCE_TYPE,PREMIUM_AMOUNT,TENURE
PLC00002751,Life,50.8,31
PLC00000309,Health,163.79,116
PLC00000825,Travel,67.23,47
PLC00004547,Motor,81.73,105
PLC00007677,Travel,54.87,106
PLC00006263,Travel,78.24,33
PLC00003024,Health,191.13,56
PLC00006195,Life,53.01,74
PLC00004940,Health,166.84,42
PLC00002579,Mobile,8.35,81
PLC00004461,Property,137.5,45
PLC00001969,Health,115.52,49
PLC00009227,Life,78.29,88
PLC00002239,Health,106.45,34
PLC00000504,Health,152.94,112
PLC00001318,Mobile,9.52,89
PLC00001678,Mobile,11.91,78
PLC00008363,Travel,84.6,86
PLC00006084,Health,174.46,77
PLC00001379,Life,74.06,90
PLC00009460,Health,163.7,83
PLC00001548,Mobile,11.1,59
PLC00001924,Travel,81.34,29
PLC00005634,Health,139.54,27
PLC00003078,Motor,139.55,40
PLC00001272,Property,129.13,37
PLC00009205,Property,94.55,84
PLC00002563,Mobile,6.29,110
PLC00000518,Motor,128.93,23
PLC00003787,Travel,66.25,61
PLC00002187,Travel,65.72,99
PLC00001157,Property,92.13,86
PLC00008428,Health,114.03,77
PLC00003447,Motor,86.11,68
PLC00004756,Life,69.07,68
PLC00000563,Health,170.43,97
PLC00009570,Health,162.8,118
PLC00005301,Mobile,9.99,48
PLC00007023,Mobile,9.54,107
PLC00003321,Life,87.73,118
PLC00001860,Property,120.81,118
PLC00006569,Mobile,10.14,111
PLC00002231,Motor,91.66,75
PLC00008915,Travel,87.31,56
PLC00007905,Mobile,9.23,9
PLC00003757,Health,109.96,102
PLC00008043,Motor,87.05,117
PLC00005715,Motor,86.82,80
PLC00002608,Life,58.94,113
PLC00009772,Property,85.31,34
PLC00001934,Property,103.01,81
PLC00004218,Travel,94.24,56
PLC00007291,Mobile,8.17,41
PLC00002593,Property,151.46,101
PLC00001605,Life,81.72,8
PLC00000262,Health,111.99,105
PLC00002005,Property,120.22,101
PLC00002603,Health,197.47,27
PLC00009796,Travel,83.02,73
PLC00002908,Life,88.9,59
PLC00000770,Mobile,11.73,28
PLC00000299,Health,160.58,64
PLC00006826,Mobile,9.82,55
PLC00009601,Health,100.44,14
PLC00001527,Life,91.6,87
PLC00009899,Motor,121.84,52
PLC00006507,Mobile,7.35,12
PLC00004705,Mobile,6.36,86
PLC00001345,Life,75.2,76
PLC00008148,Travel,65.44,115
PLC00007659,Mobile,8.85,16
PLC00009070,Mobile,9.37,22
PLC00005386,Property,152.43,61
PLC00007534,Mobile,7.69,118
PLC00009774,Mobile,11.17,16
PLC00001230,Property,104.49,10
PLC00007273,Mobile,7.64,83
PLC00004579,Travel,83.77,7
PLC00007695,Health,172.3,32
PLC00000098,Property,149.1,45
PLC00003071,Health,159.08,91
PLC00008086,Mobile,8.22,109
PLC00002124,Property,139.24,57
PLC00001321,Mobile,9.66,111
PLC00003719,Property,140.21,100
PLC00001906,Travel,69.41,83
PLC00001730,Health,147.35,26
PLC00007181,Motor,89.46,78
PLC00000527,Mobile,9.83,7
PLC00001439,Health,156.36,58
PLC00006609,Motor,125.89,115
PLC00009812,Property,93.03,65
PLC00009838,Life,60.94,92
PLC00000135,Motor,134.59,37
PLC00007126,Health,149.11,15
PLC00000197,Mobile,9.6,75
PLC00003519,Mobile,10.46,77
PLC00009701,Life,57.57,9
PLC00002345,Mobile,10.6,67
PLC00002309,Mobile,8.08,85
PLC00007245,Motor,105.75,98
PLC00008154,Travel,90.86,94
PLC00009809,Motor,87.65,23
PLC00003964,Mobile,7.24,35
PLC00007961,Travel,90.32,29
PLC00004739,Property,135.5,88
PLC00006712,Motor,119.44,63
PLC00009548,Property,120.5,35
PLC00008444,Mobile,6.32,24
PLC00000340,Life,54.71,20
PLC00007403,Motor,89.61,89
PLC00005186,Travel,81.1,62
PLC00001594,Travel,51.32,7
PLC00000363,Travel,54.91,41
PLC00001050,Motor,103.53,61
PLC00005757,Motor,138.12,93
PLC00009939,Health,199.78,74
PLC00009550,Health,101.94,21
PLC00000470,Mobile,11.68,19
PLC00004971,Life,74.57,69
PLC00000176,Health,180.63,65
PLC00002265,Travel,94.64,34
PLC00008729,Travel,87.95,108
PLC00009801,Travel,73.67,81
PLC00007712,Life,68.18,65
PLC00005114,Life,87.74,17
PLC00001909,Life,54.13,42
PLC00006322,Health,190.34,78
PLC00005348,Life,65.75,63
PLC00002864,Motor,88.82,110
PLC00006164,Mobile,9.11,81
PLC00003545,Health,161.45,37
PLC00009589,Health,125.04,78
PLC00004852,Mobile,8.57,96
PLC00008415,Health,191.7,84
PLC00008308,Motor,124.45,79
PLC00004262,Travel,94.27,90
PLC00006402,Life,50.65,104
PLC00004539,Travel,57.52,6
PLC00001198,Life,57.89,39
PLC00001669,Travel,98.11,45
PLC00005239,Property,150.33,26
PLC00004931,Motor,101.9,99
PLC00006573,Health,148.48,30
PLC00004315,Property,110.42,21
PLC00007438,Mobile,10.68,89
PLC00001580,Health,137.29,94
PLC00008021,Life,65.95,94
PLC00004735,Life,51.94,27
PLC00008419,Travel,59.16,108
PLC00009128,Life,51.09,90
PLC00003921,Mobile,9.64,19
PLC00007676,Motor,94.5,77
PLC00006378,Mobile,8.22,59
PLC00000664,Property,123.39,76
PLC00006415,Travel,60.58,93
PLC00004716,Health,158.47,63
PLC00007511,Motor,81.83,30
PLC00002140,Life,68.73,95
PLC00005468,Travel,65.94,102
PLC00007331,Property,119.24,25
PLC00001402,Mobile,11.1,25
PLC00002168,Mobile,7.84,86
PLC00009693,Travel,52.47,110
PLC00007436,Travel,86.62,54
PLC00002056,Mobile,10.35,111
PLC00006374,Property,83.07,64
PLC00003604,Property,84.51,74
PLC00001951,Travel,78.95,10
PLC00005478,Travel,58.22,11
PLC00002535,Health,175.16,18
PLC00000750,Life,80.62,90
PLC00007034,Property,148.12,44
PLC00008149,Mobile,10.4,67
PLC00001946,Mobile,6.65,45
PLC00005235,Property,134.61,87
PLC00008868,Health,194.43,116
PLC00008896,Motor,129.01,50
PLC00008647,Life,80.36,11
PLC00001244,Health,113.42,45
PLC00009842,Motor,88.91,58
PLC00004353,Life,99.58,92
PLC00009912,Mobile,10.2,53
PLC00005182,Travel,70.09,9
PLC00004146,Property,115.32,66
PLC00004100,Mobile,11.99,119
PLC00002776,Mobile,10.14,22
PLC00000909,Motor,70.39,64
PLC00004151,Motor,124.12,55
PLC00003120,Mobile,7.26,28
PLC00006335,Mobile,11.28,12
PLC00006954,Travel,95.57,50
PLC00007887,Health,191.91,73
PLC00003521,Travel,64.88,65
PLC00009291,Motor,137.37,64
PLC00005318,Life,72.18,79
PLC00004043,Health,125.33,94
PLC00009133,Property,99.01,9
PLC00006040,Property,135.12,113
PLC00006855,Life,66.2,52
PLC00002376,Life,80.78,111
PLC00009936,Motor,136.47,114
PLC00009950,Motor,71.99,82
PLC00003375,Health,118.46,88
PLC00002777,Travel,64.83,25
PLC00006308,Mobile,9.13,55
PLC00004195,Life,92.52,92
PLC00009569,Life,51.1,79
PLC00008448,Health,125.61,78
PLC00008205,Motor,84.77,96
PLC00000914,Property,84.2,11
PLC00003087,Motor,129.85,103
PLC00001612,Life,52.27,10
PLC00005352,Mobile,10.21,80
PLC00000204,Travel,88.53,16
PLC00002737,Travel,75.99,92
PLC00007760,Property,123.95,34
PLC00005663,Travel,52.55,60
PLC00002382,Travel,76.08,100
PLC00004619,Travel,77.23,83
PLC00001774,Travel,71.53,30
PLC00005438,Health,125.01,79
PLC00005080,Property,127.18,80
PLC00007855,Motor,126.05,24
PLC00004848,Motor,82.49,49
PLC00004089,Life,75.21,40
PLC00008813,Travel,55.32,10
PLC00004345,Motor,74.97,20
PLC00000891,Property,121.91,24
PLC00005093,Property,86.61,30
PLC00006401,Motor,98.63,13
PLC00004405,Travel,84.4,33
PLC00009989,Travel,86.4,87
PLC00000050,Life,81.28,13
PLC00007455,Mobile,8.55,29
PLC00000077,Property,105.6,83
PLC00007653,Health,165.69,73
PLC00003967,Motor,104.57,103
PLC00004530,Health,114.89,33
PLC00003260,Motor,95.43,91
PLC00004217,Property,149.62,56
PLC00000736,Travel,74.13,71
PLC00002218,Health,150.43,52
PLC00008578,Travel,55.71,118
PLC00009075,Life,57.23,52
PLC00009422,Property,100.53,12
PLC00006949,Property,123.6,14
PLC00002392,Health,115.54,41
PLC00006564,Motor,112.69,94
PLC00003555,Mobile,9.12,59
PLC00001282,Motor,130.84,42
PLC00009762,Motor,124.6,22
PLC00003484,Property,106.82,64
PLC00007057,Motor,110.63,31
PLC00007041,Property,103.09,34
PLC00007691,Motor,131.94,10
PLC00004679,Health,182.69,25
PLC00006563,Travel,69.98,70
PLC00002810,Property,84.19,36
PLC00001894,Property,82.02,96
PLC00003052,Mobile,9.67,16
PLC00009268,Mobile,9.68,115
PLC00008014,Life,84.67,22
PLC00006750,Travel,61.86,61
PLC00008244,Travel,51.44,16
PLC00008003,Life,57.54,13
PLC00005898,Motor,100.63,37
PLC00003699,Travel,62.19,107
PLC00008129,Mobile,10.18,69
PLC00001551,Mobile,6.63,59
PLC00005088,Property,123.41,25
PLC00003287,Mobile,7.38,31
PLC00002396,Health,130.72,95
PLC00005188,Mobile,8.79,111
PLC00003162,Motor,77.9,7
PLC00005462,Life,58.53,87
PLC00009486,Mobile,7.98,86
PLC00004830,Motor,90.67,89
PLC00008385,Property,153.7,68
PLC00000695,Property,115.43,71
PLC00009198,Motor,91.99,17
PLC00006898,Motor,99.99,107
PLC00009512,Motor,90.32,106
PLC00003526,Travel,98.9,50
PLC00000046,Life,63.95,75
PLC00004329,Motor,101.01,82
PLC00007098,Motor,70.78,13
PLC00005691,Health,162.81,36
PLC00003788,Travel,87.39,63
PLC00002100,Travel,85.77,90
PLC00005019,Life,71.42,87
PLC00001007,Motor,93.44,86
PLC00007607,Travel,68.21,41
PLC00001265,Motor,92.58,100
PLC00001185,Mobile,6.81,40
PLC00006986,Mobile,8.67,6
PLC00007586,Property,91.38,65
PLC00008062,Life,63.41,28
PLC00000004,Property,93.49,43
PLC00001748,Mobile,9.5,93
PLC00001630,Property,85.69,31
PLC00008512,Motor,72.26,19
PLC00008968,Property,154.36,23
PLC00009452,Property,143.89,46
PLC00005158,Health,115.75,6
PLC00006077,Motor,95.33,52
PLC00009508,Travel,91.1,88
PLC00007478,Travel,50.44,59
PLC00007348,Life,99.11,27
PLC00005443,Health,107.13,110
PLC00009169,Health,124.56,93
PLC00001151,Health,164.79,100
PLC00002074,Mobile,10.6,79
PLC00009425,Motor,110.57,52
PLC00009063,Mobile,6.91,63
PLC00002648,Health,167.33,62
PLC00004759,Travel,55.47,28
PLC00009183,Health,154.29,84
PLC00004229,Motor,77.81,8
PLC00003948,Mobile,8.96,76
PLC00006807,Health,161.86,80
PLC00002224,Life,67.09,80
PLC00004202,Property,86.41,102
PLC00003649,Life,66.68,87
PLC00008899,Motor,137.52,76
PLC00006988,Travel,56.73,59
PLC00007940,Life,75.88,60
PLC00000667,Health,128.83,59
PLC00007045,Health,182.54,16
PLC00003711,Health,152.41,69
PLC00002366,Mobile,10.74,88
PLC00008613,Health,117.76,103
PLC00004657,Life,77.37,69
PLC00006372,Travel,59.27,58
PLC00003558,Life,64.75,70
PLC00000371,Life,70.17,40
PLC00002084,Mobile,11.67,45
PLC00001987,Mobile,9.57,112
PLC00005072,Health,150.88,60
PLC00007594,Life,90.88,39
PLC00001018,Travel,73.97,41
PLC00001724,Life,68.56,25
PLC00003340,Property,82.23,6
PLC00005412,Mobile,11.21,25
PLC00008099,Mobile,8.65,75
PLC00000924,Motor,101.46,61
PLC00007756,Travel,89.56,26
PLC00006538,Mobile,7.16,93
PLC00004585,Health,125.57,80
PLC00007881,Travel,67.48,31
PLC00000099,Mobile,11.85,24
PLC00009588,Travel,64.14,64
PLC00007739,Life,92.45,84
PLC00004080,Mobile,11.16,65
PLC00002736,Health,161.88,35
PLC00008053,Health,191.68,79
PLC00005105,Motor,111.87,49
PLC00006767,Life,67.85,72
PLC00002557,Mobile,6.19,43
PLC00002727,Mobile,9.69,36
PLC00005251,Property,116.93,104
PLC00007858,Mobile,9.87,40
PLC00004791,Motor,92.87,30
PLC00007538,Health,172.36,100
PLC00002171,Health,168.93,43
PLC00000912,Property,147.4,103
PLC00003705,Motor,84.23,112
PLC00003015,Life,56.86,95
PLC00008158,Motor,107.35,55
PLC00009392,Motor,123.35,32
PLC00008159,Mobile,11.12,66
PLC00001322,Property,103.65,39
PLC00005243,Health,149.22,19
PLC00009800,Life,74.93,56
PLC00001023,Health,177.76,67
PLC00002034,Health,137.26,80
PLC00007731,Property,152.07,13
PLC00004373,Life,50.44,53
PLC00009894,Life,68.71,101
PLC00008483,Mobile,11.42,49
PLC00003474,Mobile,9.6,48
PLC00000836,Health,103.4,7
PLC00009426,Property,109.53,32
PLC00003642,Health,115.54,76
PLC00007885,Motor,98.48,55
PLC00003049,Mobile,9.42,21
PLC00001520,Health,167.8,21
PLC00005937,Health,133.64,11
PLC00004194,Travel,56.1,102
PLC00004094,Motor,123.68,30
PLC00005064,Mobile,10.64,33
PLC00004010,Life,56.34,91
PLC00008331,Life,61.09,15
PLC00008254,Property,114.58,13
PLC00009727,Mobile,11.07,15
PLC00000788,Health,120.9,105
PLC00005508,Health,158.73,21
PLC00003220,Travel,79.53,71
PLC00005066,Health,140.78,7
PLC00000171,Property,147.04,32
PLC00007770,Mobile,7.29,103
PLC00001339,Mobile,10.29,82
PLC00007937,Property,122.49,83
PLC00001266,Mobile,9.57,66
PLC00001943,Property,117.65,87
PLC00001743,Mobile,11.46,6
PLC00000492,Motor,81.21,70
PLC00002813,Travel,71.59,81
PLC00003148,Property,84.16,97
PLC00006377,Mobile,10.16,118
PLC00004618,Travel,97.05,39
PLC00002790,Travel,80.53,6
PLC00009767,Health,135.84,10
PLC00006910,Travel,83.3,11
PLC00001896,Mobile,9.8,49
PLC00004209,Travel,52.79,34
PLC00005413,Travel,72.37,24
PLC00003072,Health,192.32,97
PLC00004711,Life,65.1,65
PLC00007295,Health,150.51,98
PLC00000520,Property,142.61,7
PLC00006669,Mobile,10.61,6
PLC00001918,Mobile,9.81,83
PLC00003569,Health,142.61,108
PLC00008716,Life,57.45,68
PLC00001094,Life,85.2,41
PLC00001506,Motor,71.53,107
PLC00000194,Mobile,11.96,82
PLC00005037,Mobile,7.02,66
PLC00008107,Travel,71.55,80
PLC00006978,Property,93.21,95
PLC00005976,Life,52.05,99
PLC00007704,Travel,55.26,64
PLC00003502,Travel,84.22,33
PLC00009915,Motor,93.17,7
PLC00001084,Motor,77.83,50
PLC00004114,Motor,127.41,10
PLC00006441,Travel,68.44,99
PLC00003793,Health,189.63,84
PLC00004570,Property,106.29,85
PLC00001347,Travel,55.93,68
PLC00006702,Property,97.62,24
PLC00004506,Property,122.05,28
PLC00001400,Health,117.56,7
PLC00004123,Property,106.77,82
PLC00003402,Life,77.9,74
PLC00007247,Motor,129.28,74
PLC00000250,Travel,63.91,74
PLC00000905,Health,174.58,76
PLC00003419,Life,66.21,97
PLC00000127,Life,61.15,46
PLC00007542,Life,53.79,29
PLC00006861,Motor,119.49,118
PLC00000636,Mobile,7.74,7
PLC00008665,Travel,50.71,105
PLC00005470,Motor,131.38,8
PLC00000056,Motor,73.06,104
PLC00008998,Life,55.35,18
PLC00005866,Health,198.26,6
PLC00006680,Mobile,6.96,33
PLC00007379,Health,136.43,53
PLC00002241,Travel,90.64,67
PLC00006982,Mobile,9.98,108
PLC00008570,Property,145.31,95
PLC00004281,Motor,113.48,36
PLC00003415,Life,57.48,33
PLC00009374,Motor,104.96,92
PLC00001501,Mobile,7.55,119
PLC00003028,Property,107.39,106
PLC00005492,Health,177.96,95
PLC00009106,Mobile,11.49,53
PLC00009161,Motor,93.98,14
PLC00002154,Health,181.0,77
PLC00004378,Motor,85.8,7
PLC00007367,Property,108.33,78
PLC00005307,Health,184.23,40
PLC00001020,Health,111.56,21
PLC00004704,Travel,68.73,38
PLC00008150,Mobile,6.67,94
PLC00007420,Motor,109.43,80
PLC00004249,Health,104.84,15
PLC00001124,Motor,124.55,47
PLC00008370,Property,87.01,35
PLC00005521,Travel,61.97,61
PLC00001929,Life,83.03,13
PLC00006574,Mobile,9.25,7
PLC00004147,Life,65.53,81
PLC00000257,Motor,77.02,91
PLC00005841,Property,141.66,19
PLC00007872,Health,112.34,62
PLC00001832,Mobile,11.6,72
PLC00009367,Property,82.35,11
PLC00005090,Health,179.81,34
PLC00009993,Health,139.36,7
PLC00002244,Motor,96.56,84
PLC00002926,Mobile,10.71,17
PLC00009059,Mobile,6.1,29
PLC00008722,Travel,50.84,97
PLC00002636,Travel,60.95,70
PLC00000430,Mobile,8.49,89
PLC00003462,Motor,83.86,36
PLC00004798,Property,135.59,33
PLC00002824,Travel,63.69,86
PLC00007975,Health,193.87,51
PLC00008169,Life,60.98,7
PLC00004472,Health,128.01,31
PLC00000511,Travel,75.09,12
PLC00007884,Life,67.97,102
PLC00004870,Health,159.98,20
PLC00008167,Health,118.1,91
PLC00009694,Property,99.27,36
PLC00009521,Property,123.37,55
PLC00000608,Health,192.99,101
PLC00005497,Health,133.44,70
PLC00005625,Mobile,7.5,99
PLC00001313,Health,192.58,51
PLC00008790,Travel,72.77,105
PLC00008687,Life,95.9,109
PLC00002881,Mobile,7.17,21
PLC00002027,Life,88.98,36
PLC00005543,Travel,53.45,97
PLC00008138,Travel,57.33,75
PLC00000744,Life,51.14,111
PLC00009368,Travel,83.02,36
PLC00003489,Travel,80.39,114
PLC00003533,Life,88.1,50
PLC00005602,Property,155.33,13
PLC00009163,Health,151.35,53
PLC00000141,Mobile,9.07,29
PLC00006469,Mobile,9.73,105
PLC00005435,Property,143.55,49
PLC00009015,Mobile,11.74,16
PLC00006923,Mobile,10.36,46
PLC00009871,Motor,72.37,9
PLC00003080,Mobile,6.5,15
PLC00005791,Health,100.64,18
PLC00002144,Travel,64.71,36
PLC00002355,Mobile,9.23,76
PLC00002678,Motor,97.78,8
PLC00006960,Property,82.49,87
PLC00007483,Mobile,7.0,60
PLC00009666,Travel,58.11,102
PLC00004297,Travel,68.82,61
PLC00001511,Mobile,7.56,93
PLC00004455,Travel,97.19,19
PLC00001746,Travel,91.23,51
PLC00006253,Motor,112.84,66
PLC00004882,Life,93.63,10
PLC00002480,Life,76.55,82
PLC00000352,Travel,81.57,41
PLC00007493,Health,104.05,26
PLC00006080,Property,84.45,36
PLC00007321,Travel,73.71,50
PLC00002351,Motor,109.17,71
PLC00005804,Property,120.26,66
PLC00002352,Property,81.06,43
PLC00004021,Motor,109.23,109
PLC00004612,Motor,88.95,75
PLC00004119,Travel,59.88,110
PLC00009048,Mobile,7.83,53
PLC00002454,Health,176.93,20
PLC00000858,Travel,56.45,106
PLC00000876,Mobile,9.95,101
PLC00005230,Travel,54.03,95
PLC00008609,Travel,92.24,117
PLC00000203,Mobile,7.4,32
PLC00000483,Mobile,11.87,59
PLC00003929,Motor,97.63,101
PLC00008002,Life,99.36,87
PLC00003353,Property,124.79,55
PLC00008178,Mobile,11.4,21
PLC00009423,Travel,84.94,13
PLC00003659,Travel,62.06,93
PLC00008139,Mobile,8.98,85
PLC00005229,Motor,83.02,44
PLC00001882,Mobile,8.52,7
PLC00001445,Travel,74.86,53
PLC00005711,Mobile,11.87,72
PLC00006771,Motor,111.48,28
PLC00006173,Motor,103.18,72
PLC00001835,Mobile,7.62,96
PLC00004216,Life,69.39,107
PLC00009385,Travel,83.6,71
PLC00001256,Property,128.76,66
PLC00003066,Health,155.81,119
PLC00001816,Property,90.92,65
PLC00009686,Travel,54.0,43
PLC00006931,Travel,89.39,55
PLC00003334,Motor,133.78,80
PLC00008854,Property,117.56,40
PLC00003763,Life,98.33,85
PLC00005952,Property,98.98,90
PLC00007417,Health,177.92,95
PLC00005593,Travel,87.32,40
PLC00000802,Motor,84.99,82
PLC00006345,Health,139.02,78
PLC00009099,Property,122.5,42
PLC00003735,Life,64.13,50
PLC00009275,Motor,133.34,8
PLC00003983,Health,178.06,12
PLC00003204,Property,115.48,25
PLC00001247,Property,118.0,111
PLC00003941,Mobile,9.66,43
PLC00006828,Life,52.18,12
PLC00008485,Property,147.98,78
PLC00008040,Health,136.21,86
PLC00009488,Health,198.86,65
PLC00002754,Mobile,11.57,95
PLC00001250,Motor,119.1,91
PLC00006816,Life,94.33,61
PLC00008509,Motor,112.97,30
PLC00008144,Property,116.6,73
PLC00003883,Mobile,11.04,96
PLC00003697,Motor,72.55,72
PLC00004652,Health,119.13,82
PLC00004354,Motor,114.18,8
PLC00001804,Health,103.11,100
PLC00008184,Property,156.12,108
PLC00006071,Property,84.56,116
PLC00000522,Travel,73.74,81
PLC00008645,Mobile,7.68,63
PLC00001280,Motor,102.79,75
PLC00004809,Travel,94.44,8
PLC00003935,Health,188.66,104
PLC00006169,Life,85.2,35
PLC00007829,Motor,115.2,33
PLC00003504,Property,148.16,108
PLC00006329,Property,84.83,111
PLC00003575,Mobile,8.23,90
PLC00005297,Life,61.19,16
PLC00007990,Health,103.16,110
PLC00009189,Motor,114.54,23
PLC00007372,Motor,103.95,52
PLC00007960,Health,196.62,112
PLC00002628,Health,128.85,35
PLC00003146,Motor,131.92,15
PLC00001218,Travel,62.49,116
PLC00001627,Property,119.47,55
PLC00009572,Health,178.19,53
PLC00009571,Mobile,8.35,78
PLC00009903,Motor,96.04,88
PLC00008299,Life,86.04,28
PLC00001570,Life,58.06,68
PLC00005936,Travel,62.56,6
PLC00009102,Health,160.29,118
PLC00009086,Life,71.03,71
PLC00005852,Life,81.44,74
PLC00003483,Health,137.44,64
PLC00004332,Motor,124.91,98
PLC00007827,Motor,91.52,34
PLC00004869,Life,52.23,85
PLC00004600,Property,114.45,29
PLC00005973,Travel,79.59,92
PLC00009115,Health,193.39,113
PLC00007794,Motor,81.37,46
PLC00002142,Life,83.92,81
PLC00007763,Health,147.6,85
PLC00009379,Life,69.67,83
PLC00009413,Life,84.88,42
PLC00004210,Travel,93.56,41
PLC00001211,Property,98.62,74
PLC00008327,Property,146.12,107
PLC00000108,Travel,88.04,100
PLC00007888,Life,58.45,108
PLC00004344,Mobile,8.61,67
PLC00006486,Travel,92.05,76
PLC00006824,Travel,52.45,96
PLC00005743,Property,110.71,66
PLC00006272,Health,122.8,18
PLC00009706,Mobile,7.52,78
PLC00005092,Travel,92.78,54
PLC00008425,Health,144.2,8
PLC00003857,Health,194.48,9
PLC00001672,Travel,93.18,99
PLC00002230,Motor,72.28,79
PLC00002267,Travel,98.4,25
PLC00009218,Mobile,6.45,17
PLC00003107,Property,88.08,107
PLC00006260,Health,147.17,11
PLC00007667,Property,100.96,78
PLC00006845,Life,99.09,99
PLC00007044,Travel,55.03,46
PLC00001197,Mobile,10.31,21
PLC00003829,Property,124.33,110
PLC00003632,Property,92.04,78
PLC00001242,Travel,69.14,111
PLC00001123,Health,104.62,20
PLC00005326,Life,64.31,88
PLC00004161,Motor,84.82,101
PLC00004122,Property,149.37,91
PLC00000414,Travel,78.72,31
PLC00004580,Travel,99.37,87
PLC00001841,Health,136.58,78
PLC00003681,Property,146.65,97
PLC00003127,Life,99.72,46
PLC00007059,Travel,91.37,20
PLC00005395,Motor,97.75,28
PLC00006584,Motor,72.52,6
PLC00005745,Motor,88.97,71
PLC00008536,Mobile,8.14,52
PLC00008440,Property,158.0,105
PLC00001060,Property,131.05,74
PLC00007154,Mobile,10.7,11
PLC00003137,Health,192.38,100
PLC00004334,Life,97.23,16
PLC00002733,Life,92.78,109
PLC00003347,Travel,97.76,70
PLC00003700,Travel,80.86,73
PLC00009384,Motor,88.44,6
PLC00001798,Travel,55.14,44
PLC00008004,Life,73.92,58
PLC00006779,Property,92.45,73
PLC00007274,Mobile,11.68,12
PLC00006613,Health,183.5,32
PLC00008786,Property,127.08,13
PLC00006447,Property,141.03,41
PLC00001361,Mobile,10.53,73
PLC00000751,Health,186.43,69
PLC00006299,Health,182.18,10
PLC00006031,Health,134.98,35
PLC00005922,Motor,138.98,58
PLC00007220,Life,61.28,92
PLC00004434,Motor,118.38,49
PLC00007186,Motor,77.33,45
PLC00000863,Property,101.64,67
PLC00000911,Health,194.94,90
PLC00001064,Property,127.04,83
PLC00002845,Life,89.1,70
PLC00002402,Travel,73.84,37
PLC00001082,Health,181.28,113
PLC00000678,Property,130.66,27
PLC00003627,Health,138.38,67
PLC00005391,Mobile,8.53,102
PLC00005422,Property,88.37,100
PLC00008333,Life,72.95,29
PLC00004498,Mobile,6.05,116
PLC00009371,Mobile,7.51,29
PLC00004920,Life,57.93,44
PLC00007901,Mobile,11.55,9
PLC00009655,Health,135.63,87
PLC00005740,Life,87.9,32
PLC00006527,Health,187.67,7
PLC00008398,Health,142.54,116
PLC00004412,Property,115.79,75
PLC00002580,Health,191.1,92
PLC00008957,Health,117.44,94
PLC00009440,Health,134.93,100
PLC00006703,Mobile,6.91,43
PLC00002605,Life,74.94,58
PLC00002090,Property,159.75,119
PLC00001220,Property,156.64,101
PLC00002180,Motor,82.86,25
PLC00002051,Life,67.13,111
PLC00003205,Property,82.55,100
PLC00004671,Property,107.92,59
PLC00008263,Property,132.01,115
PLC00003469,Motor,96.15,31
PLC00006922,Mobile,11.34,26
PLC00008698,Property,94.09,61
PLC00000521,Mobile,8.08,16
PLC00003232,Motor,86.75,38
PLC00000129,Property,138.13,34
PLC00004720,Health,123.59,75
PLC00008269,Health,143.08,113
PLC00005851,Mobile,10.67,16
PLC00006539,Property,84.2,20
PLC00001691,Travel,89.6,79
PLC00006051,Motor,137.35,51
PLC00008583,Motor,136.02,99
PLC00008447,Health,122.17,114
PLC00001466,Health,115.89,41
PLC00004020,Property,126.39,43
PLC00003200,Travel,50.9,115
PLC00001897,Health,110.22,108
PLC00008296,Travel,87.33,22
PLC00003994,Property,108.96,96
PLC00003070,Motor,102.58,114
PLC00005824,Motor,105.34,79
PLC00001100,Property,85.08,81
PLC00008649,Health,105.87,70
PLC00009724,Health,106.18,63
PLC00009298,Travel,59.2,90
PLC00003398,Life,55.08,106
PLC00001279,Motor,122.66,50
PLC00001488,Motor,135.07,80
PLC00006877,Health,112.69,97
PLC00008611,Mobile,10.21,78
PLC00002607,Travel,84.85,62
PLC00004664,Property,105.34,81
PLC00004402,Life,81.31,18
PLC00005861,Motor,103.19,70
PLC00001243,Property,126.52,25
PLC00003269,Health,180.52,112
PLC00000134,Life,56.49,46
PLC00007303,Mobile,7.11,73
PLC00006135,Motor,79.63,119
PLC00007285,Motor,97.34,30
PLC00001342,Health,184.43,48
PLC00008775,Health,162.61,97
PLC00001945,Motor,82.24,80
PLC00006286,Life,50.76,33
PLC00002254,Mobile,8.29,52
PLC00001367,Health,157.42,35
PLC00006089,Life,58.47,45
PLC00008196,Property,112.69,64
PLC00009074,Mobile,9.92,105
PLC00003866,Motor,99.44,41
PLC00002438,Property,116.35,23
PLC00008780,Travel,66.38,14
PLC00005825,Mobile,10.61,92
PLC00002970,Health,157.08,98
PLC00004444,Property,118.61,22
PLC00004073,Mobile,9.33,42
PLC00002132,Travel,88.97,54
PLC00005888,Health,143.37,118
PLC00008495,Travel,94.54,12
PLC00006219,Mobile,7.16,118
PLC00000043,Travel,50.97,102
PLC00005846,Health,168.01,39
PLC00000455,Health,154.85,106
PLC00007692,Motor,101.29,96
PLC00009393,Life,97.9,17
PLC00005765,Mobile,8.09,66
PLC00002506,Life,79.23,46
PLC00002011,Health,134.39,81
PLC00002097,Life,91.72,110
PLC00006674,Property,128.24,29
PLC00006156,Health,166.25,94
PLC00002223,Mobile,9.28,72
PLC00007897,Life,70.24,10
PLC00001490,Health,119.13,84
PLC00001308,Mobile,8.25,8
PLC00002947,Motor,78.64,23
PLC00009470,Mobile,8.42,26
PLC00002408,Health,110.98,93
PLC00004204,Motor,71.2,38
